"","teamID","yearID","lgID","franchID","divID","Rank","G","Ghome","W","L","DivWin","WCWin","LgWin","WSWin","R","AB","H","X2B","X3B","HR","BB","SO","SB","CS","HBP","SF","RA","ER","ERA","CG","SHO","SV","IPouts","HA","HRA","BBA","SOA","E","DP","FP","name","park","attendance","BPF","PPF","teamIDBR","teamIDlahman45","teamIDretro","Playoff","BA","OBP","SLG","OPS","Diff","Salary"
"44","ATL",2012,"NL","ATL","E",2,162,81,94,68,"N","Y","N","N",700,5425,1341,263,30,149,567,1289,101,32,34,46,600,549,3.42,5,16,47,4336,1310,145,464,1232,86,147,0.986,"Atlanta Braves","Turner Field",2420171,102,101,"ATL","ATL","ATL","1",0.247188940092166,0.319828722002635,0.389124423963134,0.708953145965769,100,82829942
"45","ATL",2013,"NL","ATL","E",1,162,81,96,66,"Y","N","N","N",688,5441,1354,247,21,181,542,1384,64,31,55,35,548,512,3.18,1,12,53,4351,1326,127,409,1232,85,141,0.986,"Atlanta Braves","Turner Field",2548679,104,103,"ATL","ATL","ATL","1",0.248851314096673,0.321258027334102,0.40176438154751,0.723022408881611,140,87871525
"46","ATL",2014,"NL","ATL","E",2,162,81,79,83,"N","N","N","N",573,5468,1316,240,22,123,472,1369,95,33,43,27,597,547,3.38,5,13,54,4365,1369,121,472,1301,85,143,0.986,"Atlanta Braves","Turner Field",2354305,99,99,"ATL","ATL","ATL","0",0.24067300658376,0.304658901830283,0.360095098756401,0.664754000586684,-24,97609000
"47","ATL",2015,"NL","ATL","E",4,162,81,67,95,"N","N","N","N",573,5420,1361,251,18,100,471,1107,69,33,44,31,760,698,4.41,3,10,44,4276,1462,170,550,1148,90,186,0.985,"Atlanta Braves","Turner Field",2001392,97,97,"ATL","ATL","ATL","0",0.251107011070111,0.314448541736507,0.359409594095941,0.673858135832448,-187,71781250
"48","ATL",2016,"NL","ATL","E",5,161,81,68,93,"N","N","N","N",649,5514,1404,295,27,122,502,1240,75,34,59,52,779,725,4.51,1,9,39,4343,1414,177,547,1227,101,134,0.983,"Atlanta Braves","Turner Field",2020914,102,104,"ATL","ATL","ATL","0",0.254624591947769,0.320711604374082,0.384294523032281,0.705006127406363,-130,68498291
"49","BAL",1996,"AL","BAL","E",2,163,82,88,74,"N","Y","N","N",949,5689,1557,299,29,257,645,915,76,40,61,67,903,839,5.14,13,1,44,4406,1604,209,597,1047,97,173,0.984,"Baltimore Orioles","Oriole Park at Camden Yards",3646950,100,99,"BAL","BAL","BAL","1",0.273686060819125,0.350201176106469,0.471963438214097,0.822164614320566,46,54490315
"50","BAL",1997,"AL","BAL","E",1,162,81,98,64,"Y","N","N","N",812,5584,1498,264,22,196,586,952,63,26,65,59,681,635,3.91,8,10,59,4383,1404,164,563,1139,97,148,0.984,"Baltimore Orioles","Oriole Park at Camden Yards",3711132,97,96,"BAL","BAL","BAL","1",0.268266475644699,0.341436288528758,0.428724928366762,0.77016121689552,131,58516400
"51","BAL",1998,"AL","BAL","E",4,162,81,79,83,"N","N","N","N",817,5565,1520,303,11,214,593,903,86,48,58,44,785,754,4.74,16,10,37,4294,1505,169,535,1065,81,144,0.987,"Baltimore Orioles","Oriole Park at Camden Yards",3684650,98,97,"BAL","BAL","BAL","0",0.273135669362084,0.346805111821086,0.446900269541779,0.793705381362865,32,72355634
"52","BAL",1999,"AL","BAL","E",4,162,81,78,84,"N","N","N","N",851,5637,1572,299,21,203,615,890,107,46,61,55,815,760,4.77,17,11,33,4305,1468,198,647,982,89,191,0.986,"Baltimore Orioles","Oriole Park at Camden Yards",3433150,96,96,"BAL","BAL","BAL","0",0.278871740287387,0.353015075376884,0.44740109987582,0.800416175252705,36,80605863
"53","BAL",2000,"AL","BAL","E",4,162,81,74,88,"N","N","N","N",794,5549,1508,310,22,184,558,900,126,65,49,54,913,855,5.37,14,6,33,4300,1547,202,665,1017,116,151,0.981,"Baltimore Orioles","Oriole Park at Camden Yards",3297031,95,96,"BAL","BAL","BAL","0",0.271760677599568,0.340579710144928,0.435033339340422,0.775613049485349,-119,81447435
"54","BAL",2001,"AL","BAL","E",4,162,80,63,98,"N","N","N","N",687,5472,1359,262,24,136,514,989,133,53,77,49,829,744,4.67,10,6,31,4297,1504,194,528,938,125,137,0.979,"Baltimore Orioles","Oriole Park at Camden Yards",3094841,95,96,"BAL","BAL","BAL","0",0.248355263157895,0.319044502617801,0.379568713450292,0.698613216068093,-142,67599540
"55","BAL",2002,"AL","BAL","E",4,162,81,67,95,"N","N","N","N",667,5491,1353,311,27,165,452,993,110,48,64,49,773,719,4.46,8,3,31,4352,1491,208,549,967,91,173,0.985,"Baltimore Orioles","Oriole Park at Camden Yards",2682439,95,96,"BAL","BAL","BAL","0",0.246403205244946,0.308619550858653,0.403023128756146,0.711642679614799,-106,60493487
"56","BAL",2003,"AL","BAL","E",4,163,81,71,91,"N","N","N","N",743,5665,1516,277,24,152,431,902,89,36,54,40,820,767,4.76,9,3,41,4349,1579,198,526,981,105,164,0.983,"Baltimore Orioles","Oriole Park at Camden Yards",2454523,99,99,"BAL","BAL","BAL","0",0.267608120035304,0.323263327948304,0.405472197705207,0.728735525653511,-77,73877500
"57","BAL",2004,"AL","BAL","E",3,162,81,78,84,"N","N","N","N",842,5736,1614,319,18,169,528,949,101,41,57,62,830,760,4.7,8,10,27,4366,1488,159,687,1090,110,161,0.982,"Baltimore Orioles","Oriole Park at Camden Yards",2744018,98,99,"BAL","BAL","BAL","0",0.281380753138075,0.344508851637161,0.431659693165969,0.776168544803131,12,51623333
"58","BAL",2005,"AL","BAL","E",4,162,81,74,88,"N","N","N","N",729,5551,1492,296,27,189,447,902,83,37,54,42,800,724,4.56,2,9,38,4283,1458,180,580,1052,107,154,0.982,"Baltimore Orioles","Oriole Park at Camden Yards",2624740,99,99,"BAL","BAL","BAL","0",0.268780399927941,0.327042993107975,0.433975860205368,0.761018853313344,-71,73914333
"59","BAL",2006,"AL","BAL","E",4,162,81,70,92,"N","N","N","N",768,5610,1556,288,20,164,474,878,121,32,73,41,899,843,5.35,5,9,35,4257,1579,216,613,1016,102,156,0.983,"Baltimore Orioles","Oriole Park at Camden Yards",2153139,99,100,"BAL","BAL","BAL","0",0.277361853832442,0.339303000968054,0.423529411764706,0.76283241273276,-131,72585582
"60","BAL",2007,"AL","BAL","E",4,162,81,69,93,"N","N","N","N",756,5631,1529,306,30,142,500,939,144,42,47,47,868,827,5.17,4,9,30,4316,1491,161,696,1087,79,155,0.987,"Baltimore Orioles","Oriole Park at Camden Yards",2164822,101,102,"BAL","BAL","BAL","0",0.271532587462262,0.333493975903614,0.41218256082401,0.745676536727624,-112,93174808
"61","BAL",2008,"AL","BAL","E",5,161,81,68,93,"N","N","N","N",782,5559,1486,322,30,172,533,990,81,37,42,48,869,810,5.13,4,4,35,4266,1538,184,687,922,100,163,0.983,"Baltimore Orioles","Oriole Park at Camden Yards",1950075,101,102,"BAL","BAL","BAL","0",0.267314265155604,0.333387253316079,0.42885411045152,0.762241363767599,-87,67196246
"62","BAL",2009,"AL","BAL","E",5,162,81,64,98,"N","N","N","N",741,5618,1508,307,19,160,517,1013,76,37,39,46,876,817,5.15,2,3,31,4287,1633,218,546,933,90,151,0.985,"Baltimore Orioles","Oriole Park at Camden Yards",1907163,101,102,"BAL","BAL","BAL","0",0.268422926308295,0.331832797427653,0.415272338910644,0.747105136338297,-135,67101666
"63","BAL",2010,"AL","BAL","E",5,162,81,66,96,"N","N","N","N",613,5554,1440,264,21,133,424,1056,76,34,54,45,785,733,4.59,3,7,35,4309,1508,186,520,1007,105,141,0.982,"Baltimore Orioles","Oriole Park at Camden Yards",1733018,101,102,"BAL","BAL","BAL","0",0.259272596326972,0.31561625802205,0.386208138278718,0.701824396300768,-172,81612500
"64","BAL",2011,"AL","BAL","E",5,162,81,69,93,"N","N","N","N",708,5585,1434,273,13,191,452,1120,81,25,52,43,860,786,4.89,3,7,32,4340,1568,210,535,1044,110,159,0.982,"Baltimore Orioles","Oriole Park at Camden Yards",1755461,96,97,"BAL","BAL","BAL","0",0.256759176365264,0.316046966731898,0.412891674127126,0.728938640859024,-152,85304038
